,NCBI Taxon ID,CE_clathrin,CE_receptor,CE_glycoproteins,other
69,3059857,1.0,0.0,0.0,0.0
70,3059858,1.0,0.0,0.0,0.0
71,3059859,1.0,0.0,0.0,0.0
72,3059872,1.0,0.0,0.0,0.0
73,3059861,1.0,0.0,0.0,0.0
74,3059862,1.0,0.0,0.0,0.0
75,1955137,0.0,0.0,1.0,0.0
76,3059946,1.0,0.0,0.0,0.0
77,3059936,1.0,0.0,0.0,0.0
78,3059940,1.0,0.0,0.0,0.0
79,3059942,1.0,0.0,0.0,0.0
80,3059938,1.0,0.0,0.0,0.0
81,3059916,1.0,0.0,0.0,0.0
82,3059924,1.0,0.0,0.0,0.0
83,2873951,0.0,1.0,0.0,0.0
84,2873952,0.0,1.0,0.0,0.0
85,2956303,,,,
86,2560644,0.0,1.0,0.0,0.0
87,3052810,0.0,1.0,0.0,0.0
88,2734404,0.0,0.0,1.0,0.0
89,3048261,1.0,0.0,0.0,0.0
90,2956349,0.0,0.0,1.0,0.0
91,694014,0.0,0.0,1.0,0.0
92,2569586,0.0,0.0,1.0,0.0
93,400570,0.0,0.0,1.0,0.0
94,1146876,0.0,0.0,1.0,0.0
95,2560612,0.0,1.0,0.0,0.0
96,3052400,0.0,1.0,0.0,0.0
97,3052421,0.0,1.0,0.0,0.0
98,2109374,,,,
99,2109373,,,,
100,1930304,0.0,1.0,0.0,0.0
101,1634476,0.0,1.0,0.0,0.0
102,2094713,0.0,0.0,1.0,0.0
103,3051984,1.0,0.0,0.0,0.0
104,3047745,1.0,0.0,0.0,0.0
105,272636,1.0,0.0,0.0,0.0
106,2734539,0.0,1.0,0.0,0.0
107,2844806,0.0,1.0,0.0,0.0
108,3052539,0.0,0.0,1.0,0.0
109,3051369,0.0,0.0,1.0,0.0
110,2099352,0.0,1.0,0.0,0.0
111,2364132,0.0,1.0,0.0,0.0
112,574549,0.0,0.0,1.0,0.0
113,1548721,0.0,0.0,1.0,0.0
114,1972581,0.0,0.0,1.0,0.0
115,1511772,0.0,1.0,0.0,0.0
116,1755590,0.0,1.0,0.0,0.0
117,190065,0.0,0.0,1.0,0.0
118,3047744,1.0,0.0,0.0,0.0
119,2170005,0.0,1.0,0.0,0.0
120,2170008,0.0,1.0,0.0,0.0
121,3051366,0.0,0.0,1.0,0.0
122,3051378,0.0,0.0,1.0,0.0
123,3051379,0.0,0.0,1.0,0.0
124,3051380,0.0,0.0,1.0,0.0
125,3051381,0.0,0.0,1.0,0.0
126,2169709,0.0,0.0,1.0,0.0
127,2955939,0.0,1.0,0.0,0.0
