hostid,host,horder,hfamily,longevity,bodyMass,bodyLength,litterpy,littersize,weaning,gestation,smaturity,georange,nocturnal,diurnal,migratory,status,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,diet_entropy,forest,savanna,shrubland,grassland,wetlands,rocky,desert,cave_subterranean,marine_neritic,marine_oceanic,marine_intertidal,marine_coastal,artifical,habitat_breadth,samplingEffort,evol_dist_fp,evol_dist_es,temp_min,temp_max,temp_avg,rain_min,rain_max,rain_avg,pop,snowice,barren,shrubs,urban,trees_evergreen,trees_deciduous,trees_needle,trees_other,veg_herbal,veg_managed,veg_flooded,crop,pasture,mamdiv,land_cover_entropy,urban_agri_entropy
3441141,pipistrellus subflavus,chiroptera,vespertilionidae,180.0,5.74,83.0,1.0,1.98,31.21,44.0,245.53,4264005.661,1,0,1,wild,100,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,4,195,22.13612185,37.33901367,1.99173,25.8292,14.270845,60.5583,124.195,92.7876916666667,222970867.662442,0.0,0.019236111,0.080138889,0.532777778,0.037638889,8.250486111,2.437430556,12.13701389,6.058125,28.74763889,0.073819444,0.223587,0.056991,53.0,1.41348772807611,0.165561867696952
3441145,plecotus rafinesquii,chiroptera,vespertilionidae,121.2,9.15,71.834,1.0,1.0,21.0,53.0,210.45,1336202.322,1,0,0,wild,100,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,475,9.326201217,11.74618835,5.97641,27.1109,16.8145083333333,77.2744,139.938,106.754816666667,68921064.05693,0.0,0.015069444,0.074097222,0.882361111,0.080277778,9.700902778,10.01277778,22.01027778,4.647986111,28.40201389,0.200069444,0.182236,0.042927,50.0,1.52741976048412,0.221840887181413
3441147,choloepus didactylus,pilosa,megalonychidae,441.6,6646.5,688.96,1.0,1.5,152.0,279.0,1262.74,4166310.897,1,0,0,wild,0,0,0,0,0,0,30,0,0,70,0.610864302054894,1,0,0,0,0,0,0,0,0,0,0,0,0,1,263,28.61294797,29.309375,25.5177,27.0625,26.4133916666667,72.1528,334.841,202.941291666667,11055960.175367,0.0,0.008194444,0.07875,0.001458333,96.43534722,0.001388889,0.000833333,0.070625,0.078888889,0.818333333,0.694583333,0.001314,0.000919,190.0,0.110752095442733,0.707828758300994
3441149,saimiri boliviensis,primates,cebidae,363.6,799.45,309.99,1.07,1.0,152.0,157.79,1277.5,1373871.995,0,1,0,wild,20,0,0,0,20,0,20,0,20,20,1.6094379124341,1,0,0,0,0,0,0,0,0,0,0,0,0,1,183179,5.695956156,7.086303711,24.6216,26.9171,26.168075,50.6921,302.674,176.961483333333,6199341.093211,0.0,0.00375,0.208402778,0.0115972225,95.32027778,0.0056944445,0.0015277775,0.253715278,0.262847222,1.4367361115,0.793402778,0.0038005,0.009368,190.5,0.178343834235661,0.715363934789834
3441153,mus booduga,rodentia,muridae,18.0,13.78,72.18,4.0,6.34,22.27,20.0,54.14,3186548.599,1,0,0,wild,20,0,0,0,0,0,0,0,20,60,0.950270539233235,1,0,1,1,0,0,0,0,0,0,0,0,1,4,89,5.166542666,14.43944092,18.7403,32.7673,25.9841166666667,4.04698,266.055,80.4745108333333,1054664794.31031,0.0,0.0807291665,0.8954166665,0.468472222,0.0172222225,0.809583333,0.003229167,2.506493056,0.6381597225,85.167430555,0.0048958335,0.603348,0.031403,63.0,0.356685232779171,0.0792260219182037
3443305,panthera uncia,carnivora,felidae,254.4,32500.0,1146.57,1.0,2.22,77.0,96.0,841.82,3496862.976,1,1,1,wild,0,100,0,0,0,0,0,0,0,0,0.0,1,0,1,1,0,1,0,0,0,0,0,0,0,4,484,7.550379869,7.178747177,-14.2415,10.8631,-1.742828875,2.41008,70.99745,30.0278000416667,47658180.76683,0.7157986115,21.2796875,4.185798611,0.0028125,0.0,0.0,0.1534027775,0.451111111,38.59329861,10.4409375,0.004513889,0.003283,0.334416,49.0,1.20263225048888,0.147041510948521
3443307,martes martes,carnivora,mustelidae,218.4,1299.99,457.01,1.0,4.0,54.19,30.63,508.47,9929674.93,1,0,0,wild,0,60,0,0,0,0,40,0,0,0,0.673011667009257,1,0,1,0,0,0,0,0,0,0,0,0,1,3,529,11.18748412,8.32077322,-7.44294,18.3948,5.23225,30.0853,77.6726,50.8611333333333,606662588.717932,0.0,3.307152778,0.108125,0.233888889,0.0,5.8984027775,5.365,18.79201389,0.854826389,33.213715275,0.1989583335,0.18454,0.086972,52.0,1.3898850462233,0.128675984159732
3443311,potos flavus,carnivora,procyonidae,480.0,2441.81,509.54,1.0,1.0,109.13,116.8,858.41,12691109.23,1,0,0,wild,10,0,0,0,10,0,80,0,0,0,0.639031859650177,1,0,0,0,0,0,0,0,0,0,0,0,0,1,172,23.94352807,28.25897217,24.879,27.09365,26.0363416666667,28.1541,307.376,163.644904166667,236030898.77222,0.0,0.058541667,0.545277778,0.016041667,55.41541667,0.273194444,0.001180556,6.934791667,0.802708333,12.49125,0.288125,0.016713,0.11269,166.0,0.890861584800217,0.176018445663642
3443313,ursus maritimus,carnivora,ursidae,540.0,371703.81,1992.55,0.4,2.0,205.17,64.66,1850.26,22605612.37,0,1,1,wild,0,90,0,10,0,0,0,0,0,0,0.325082973391448,1,0,1,1,0,1,0,0,0,1,1,1,0,7,99847,10.58796148,7.676361084,-29.728,7.81573,-12.98979,8.82964,40.8367,20.12908,1035751.89472082,0.769375,14.60013889,0.917708333,0.0,0.0,0.0,0.024722222,0.158958333,4.606944444,0.0,0.026805556,0.0,0.0,10.0,0.768906460869409,0.0
3443321,eptesicus fuscus,chiroptera,vespertilionidae,240.0,17.49,120.0,1.0,1.925,34.18,35.0,395.29,12796886.28,1,0,1,wild,100,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,0,0,1,5,233987,6.266036382,12.83475342,-2.59657,21.9379,9.36350825,17.6712,97.3131,52.6686008333333,432673878.124225,0.0,0.149409722,1.6815625,0.1101041665,0.015694444,0.7101388885,3.7164583335,11.215555555,7.8420833335,14.794097225,0.0377430555,0.103705,0.1518805,56.0,1.54565378752576,0.156847348899372
