Species,NCBI Taxon ID,Order,Family,Genus,cytoplasm
Pavo cristatus CRESS-DNA-virus sp.,2815049,,,,2
Pavo cristatus parvo-like hybrid virus,2794523,Piccovirales,Parvoviridae,,0
Pavo cristatus parvoviridae sp.,2794524,Piccovirales,Parvoviridae,,0
Pelican hepacivirus,2777469,Amarillovirales,Flaviviridae,Hepacivirus,1
Penguin herpesvirus 1,1615847,Herpesvirales,,,0
Penguin herpesvirus 2,1770252,Herpesvirales,Orthoherpesviridae,,0
Penguin siadenovirus A,2005055,Rowavirales,Adenoviridae,Siadenovirus,0
Penguinpox virus,648998,Chitovirales,Poxviridae,Avipoxvirus,1
Penguinpox virus 2,2811223,Chitovirales,Poxviridae,,0
Periparus ater CRESS-DNA-virus sp.,2815050,,,,2
Periparus ater Circoviridae sp.,2815004,Cirlivirales,Circoviridae,,0
Periparus ater Ichthamaparvovirus,2794548,Piccovirales,Parvoviridae,Ichthamaparvovirus,0
Periparus ater parvoviridae sp.,2794527,Piccovirales,Parvoviridae,,0
Pernambuco mycovirus 1,2565399,,,,2
Pernambuco nodavirus,2565391,Nodamuvirales,Nodaviridae,,1
Pernambuco virus,2565395,,,,2
Petrov virus,2707251,,,,2
Phacovirus BY/PhV,1766560,Picornavirales,Picornaviridae,,1
Phacovirus CAB/PhV,1766561,Picornavirales,Picornaviridae,,1
Phacovirus DM/PhV,1766562,Picornavirales,Picornaviridae,,1
Phacovirus GT/PhV,1766563,Picornavirales,Picornaviridae,,1
Phacovirus NG/PhV,1766564,Picornavirales,Picornaviridae,,1
Phacovirus TR/PhV,1766566,Picornavirales,Picornaviridae,,1
Phacovirus VG/PhV,1766567,Picornavirales,Picornaviridae,,1
Phacovirus sp.,2108520,Picornavirales,Picornaviridae,,1
Phapecoctavirus TSP7,2956303,,,Phapecoctavirus,2
Phasianid herpesvirus 1,1098913,Herpesvirales,Orthoherpesviridae,Mardivirus,0
Phasianus chaphamaparvovirus,2944714,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Pheasant-associated gyrovirus,2926920,,Anelloviridae,Gyrovirus,0
Phlebovirus arumowotense,2734439,Bunyavirales,Phenuiviridae,Phlebovirus,1
Phlebovirus toscanaense,3052686,Bunyavirales,Phenuiviridae,Phlebovirus,1
Phoenicopterid herpesvirus 1,1643444,Herpesvirales,Orthoherpesviridae,Iltovirus,0
Phoenicopteridae CRESS-DNA-virus sp.,2815051,,,,2
Phoenicopteridae parvo-like hybrid virus,2794528,Piccovirales,Parvoviridae,,0
Phoenicopteridae parvoviridae sp.,2794529,Piccovirales,Parvoviridae,,0
Phoenicopterus roseus CRESS-DNA-virus sp.,2815052,,,,2
Phoenicopterus roseus parvo-like hybrid virus,2794530,Piccovirales,Parvoviridae,,0
Phoenicurus auroreus CRESS-DNA-virus sp.,2815053,,,,2
Phoenicurus auroreus parvoviridae sp.,2794531,Piccovirales,Parvoviridae,,0
Phylloscopus fuscatus CRESS-DNA-virus sp.,2815054,,,,2
Phylloscopus fuscatus Ichthamaparvovirus,2794549,Piccovirales,Parvoviridae,Ichthamaparvovirus,0
Phylloscopus fuscatus parvoviridae sp.,2794534,Piccovirales,Parvoviridae,,0
Phylloscopus inornatus parvoviridae sp.,2794539,Piccovirales,Parvoviridae,,0
Phylloscopus parvoviridae sp.,2794563,Piccovirales,Parvoviridae,,0
Phylloscopus proregulus Brevihamaparvovirus,2794566,Piccovirales,Parvoviridae,Brevihamaparvovirus,0
Phylloscopus proregulus Ichthamaparvovirus,2794550,Piccovirales,Parvoviridae,Ichthamaparvovirus,0
Phylloscopus proregulus parvoviridae sp.,2794532,Piccovirales,Parvoviridae,,0
Phylloscopus schwarzi parvoviridae sp.,2794533,Piccovirales,Parvoviridae,,0
Phylloscopus tenellipes CRESS-DNA-virus sp.,2815055,,,,2
Picobirnaviridae sp. gcode 3,2857096,Durnavirales,Picobirnaviridae,,1
Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,1497566,Durnavirales,Picobirnaviridae,Picobirnavirus,1
Picobirnavirus HK-2014,1566334,Durnavirales,Picobirnaviridae,Picobirnavirus,1
Picobirnavirus sp.,1907787,Durnavirales,Picobirnaviridae,Picobirnavirus,1
Picobirnavirus turkey/USA-1507/2010,1353791,Durnavirales,Picobirnaviridae,Picobirnavirus,1
Picobirnavirus turkey/USA-1512/2010,1353792,Durnavirales,Picobirnaviridae,Picobirnavirus,1
Picornavirales sp.,1955153,Picornavirales,,,1
Picornaviridae sp.,1530251,Picornavirales,Picornaviridae,,1
Picornavirus chicken/CHK1/USA/2010,990662,Picornavirales,Picornaviridae,,1
Picornavirus chicken/CHK148/USA/2010,990663,Picornavirales,Picornaviridae,,1
Picornavirus chicken/CHK165/USA/2010,990664,Picornavirales,Picornaviridae,,1
Picornavirus chicken/CHK168/USA/2010,990665,Picornavirales,Picornaviridae,,1
Picornavirus chicken/CHK175/USA/2010,990666,Picornavirales,Picornaviridae,,1
Picornavirus turkey/TRK22/USA/2010,990667,Picornavirales,Picornaviridae,,1
Picornavirus turkey/TRK24/USA/2010,990668,Picornavirales,Picornaviridae,,1
Picornavirus turkey/TRK90/USA/2010,990669,Picornavirales,Picornaviridae,,1
Picornavirus turkey/TRK91/USA/2010,990670,Picornavirales,Picornaviridae,,1
Pigeon adenovirus,10535,Rowavirales,Adenoviridae,Mastadenovirus,0
Pigeon adenovirus 2a,1924072,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon adenovirus 2b,1891777,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon adenovirus 3,1891778,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon adenovirus 4,1891779,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon adenovirus 5,1891780,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon adenovirus FJ2017,2162686,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon astrovirus,3079711,Stellavirales,Astroviridae,,1
Pigeon aviadenovirus A,1548417,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon aviadenovirus B,2169708,Rowavirales,Adenoviridae,Aviadenovirus,0
Pigeon coronavirus UAE-HKU29,2078583,Nidovirales,Coronaviridae,Deltacoronavirus,1
Pigeon gyrovirus,2766787,,Anelloviridae,Gyrovirus,0
Pigeon parvovirus A,1399967,Piccovirales,Parvoviridae,,0
Pigeon picornavirus A,928290,Picornavirales,Picornaviridae,,1
Pigeon picornavirus B,928289,Picornavirales,Picornaviridae,,1
Pigeon-dominant Coronavirus,1649336,Nidovirales,Coronaviridae,,1
Pigeonpox virus,10264,Chitovirales,Poxviridae,Avipoxvirus,1
Pileated finch aveparvovirus,2137544,Piccovirales,Parvoviridae,Aveparvovirus,0
Pin virus,2880959,,,,2
Pingu picornavirus,2575832,Picornavirales,,,1
Pink-eared duck avastrovirus,2592511,Stellavirales,Astroviridae,Avastrovirus,1
Pink-eared duck calicivirus I,2592509,Picornavirales,Caliciviridae,,1
Pink-eared duck calicivirus II,2592510,Picornavirales,Caliciviridae,,1
Pink-eared duck megrivirus,2592493,Picornavirales,Picornaviridae,Megrivirus,1
Pink-eared duck picobirnavirus,2592517,Durnavirales,Picobirnaviridae,,1
Pink-eared duck picornavirus,2592518,Picornavirales,Picornaviridae,,1
Plum headed parakeet adenovirus 1,461346,Rowavirales,Adenoviridae,Siadenovirus,0
Podargid alphaherpesvirus 1,2115843,Herpesvirales,Orthoherpesviridae,,0
Poecivirus A,2560644,Picornavirales,Picornaviridae,Poecivirus,1
Poecivirus NOCR-674,1871149,Picornavirales,Picornaviridae,,1
Poecivirus NOCR-848,1871150,Picornavirales,Picornaviridae,,1
Poecivirus RBNH-12,1871151,Picornavirales,Picornaviridae,,1
Poecivirus RBNH-929,1871152,Picornavirales,Picornaviridae,,1
Poecivirus sp.,2759496,Picornavirales,Picornaviridae,Poecivirus,1
Poicephalus senegalus papillomavirus,2876998,Zurhausenvirales,Papillomaviridae,,0
Polyomavirus erythrura5304,3117230,Sepolyvirales,Polyomaviridae,,0
Polyomavirus erythrura5362,3117231,Sepolyvirales,Polyomaviridae,,0
Polyomavirus odontophorus5057,3117261,Sepolyvirales,Polyomaviridae,,0
Polyomavirus phylloscopus4708,3117269,Sepolyvirales,Polyomaviridae,,0
Polyomavirus phylloscopus4853,3117270,Sepolyvirales,Polyomaviridae,,0
Polyomavirus prunella5215,3117274,Sepolyvirales,Polyomaviridae,,0
Polyomavirus pteridophora5384,3117276,Sepolyvirales,Polyomaviridae,,0
Polyomavirus saxicola5252a,3117279,Sepolyvirales,Polyomaviridae,,0
Polyomavirus sericulus5319,3117280,Sepolyvirales,Polyomaviridae,,0
Polyomavirus taeniopygia5555,3117282,Sepolyvirales,Polyomaviridae,,0
Polyomavirus zonotrichia5422,3117287,Sepolyvirales,Polyomaviridae,,0
Porcine epidemic diarrhea virus,28295,Nidovirales,Coronaviridae,Alphacoronavirus,1
Porprismacovirus avias1,2845875,Cremevirales,Smacoviridae,Porprismacovirus,0
Porprismacovirus chicas2,2845885,Cremevirales,Smacoviridae,Porprismacovirus,0
Porprismacovirus chicas3,2845886,Cremevirales,Smacoviridae,Porprismacovirus,0
Porprismacovirus chicas4,2845887,Cremevirales,Smacoviridae,Porprismacovirus,0
Porprismacovirus chicas5,2845888,Cremevirales,Smacoviridae,Porprismacovirus,0
Porprismacovirus chicas6,2845889,Cremevirales,Smacoviridae,Porprismacovirus,0
Porprismacovirus chicas7,2845890,Cremevirales,Smacoviridae,Porprismacovirus,0
Porprismacovirus turas1,2845936,Cremevirales,Smacoviridae,Porprismacovirus,0
Powell virus,2707253,,,,2
Protoparvovirus HK-2014,1566336,Piccovirales,Parvoviridae,Protoparvovirus,0
Protoparvovirus Udayana_MDPVA,1711931,Piccovirales,Parvoviridae,Protoparvovirus,0
Protoparvovirus Udayana_MDPVB,1711932,Piccovirales,Parvoviridae,Protoparvovirus,0
Protoparvovirus sp.,1987106,Piccovirales,Parvoviridae,Protoparvovirus,0
Prunella montanella CRESS-DNA-virus sp.,2815056,,,,2
Prunella montanella Genomoviridae sp.,2814991,Geplafuvirales,Genomoviridae,,0
Psittacid alphaherpesvirus 6,3042376,Herpesvirales,Orthoherpesviridae,,0
Psittacid herpesvirus 3,240876,Herpesvirales,,,0
Psittacidae CRESS-DNA-virus sp.,2815057,,,,2
Psittacidae Chaphamaparvovirus,2794494,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Psittacidae aveparvovirus,2794556,Piccovirales,Parvoviridae,Aveparvovirus,0
Psittacidae dependoparvovirus,2794570,Piccovirales,Parvoviridae,Dependoparvovirus,0
Psittacidae parvo-like hybrid virus,2794535,Piccovirales,Parvoviridae,,0
Psittacidae parvoviridae sp.,2794536,Piccovirales,Parvoviridae,,0
Psittaciform aveparvovirus,3042447,Piccovirales,Parvoviridae,Aveparvovirus,0
Psittaciform chaphamaparvovirus 3,2928890,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Psittaciform chaphamaparvovirus 4,3090915,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Psittaciform chaphamaparvovirus 5,3090916,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Psittaciform chaphamaparvovirus 6,3090917,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Psittaciform parvoviridae sp.,3042448,Piccovirales,Parvoviridae,,0
Psittacine adenovirus 12,3134257,Rowavirales,Adenoviridae,Aviadenovirus,0
Psittacine adenovirus 2,1301246,Rowavirales,Adenoviridae,,0
Psittacine atadenovirus A,2003673,Rowavirales,Adenoviridae,Atadenovirus,0
Psittacine aviadenovirus B,2169709,Rowavirales,Adenoviridae,Aviadenovirus,0
Psittacine aviadenovirus C,2734577,Rowavirales,Adenoviridae,Aviadenovirus,0
Psittacine chaphamaparvovirus 2,2917163,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Psittacine orthoreovirus AGPReo1983,489824,Reovirales,Spinareoviridae,Orthoreovirus,1
Psittacine picornavirus,3042449,Picornavirales,Picornaviridae,,1
Psittacine siadenovirus 1,2737672,Rowavirales,Adenoviridae,Siadenovirus,0
Psittacine siadenovirus D,2845976,Rowavirales,Adenoviridae,Siadenovirus,0
Psittacine siadenovirus E,2845977,Rowavirales,Adenoviridae,Siadenovirus,0
Psittacine siadenovirus F,2874383,Rowavirales,Adenoviridae,Siadenovirus,0
Ptolmey virus,2707254,,,,2
Puffin papillomavirus 1,2562557,Zurhausenvirales,Papillomaviridae,,0
Purple grenadier circovirus,39725,Cirlivirales,Circoviridae,,0
Pygoscepivirus A,2846013,Picornavirales,Picornaviridae,Pygoscepivirus,1
Quail coronavirus Italy/Elvia/2005,431320,Nidovirales,Coronaviridae,,1
Quail coronavirus UAE-HKU30,2078581,Nidovirales,Coronaviridae,Deltacoronavirus,1
Quail deltacoronavirus,2249315,Nidovirales,Coronaviridae,Deltacoronavirus,1
Quail picornavirus QPV1/HUN/2010,1089138,Picornavirales,Picornaviridae,,1
Quailpox virus,400570,Chitovirales,Poxviridae,Avipoxvirus,1
Quang Binh virus,643132,Amarillovirales,Flaviviridae,Orthoflavivirus,0
Quaranjavirus chadense,2956349,Articulavirales,Orthomyxoviridae,Quaranjavirus,0
Quaranjavirus wellfleetense,2956351,Articulavirales,Orthomyxoviridae,Quaranjavirus,0
RNA virus hoopoe/BBanka01/2015/HUN,2711208,,,,2
RNA virus sp.,2217650,,,,2
Raina virus,2707255,,,,2
Raptor adenovirus,2963835,Rowavirales,Adenoviridae,,0
Raptor siadenovirus A,691961,Rowavirales,Adenoviridae,Siadenovirus,0
Red-billed gull papillomavirus,2862952,Zurhausenvirales,Papillomaviridae,,0
Red-capped plover megrivirus,2592494,Picornavirales,Picornaviridae,Megrivirus,1
Red-fronted serin circovirus,39725,Cirlivirales,Circoviridae,,0
Red-necked stint Picornavirus B-like,2592520,Picornavirales,Picornaviridae,,1
Red-necked stint avastrovirus,2592512,Stellavirales,Astroviridae,Avastrovirus,1
Red-necked stint gallivirus,2592516,Picornavirales,Picornaviridae,Gallivirus,1
Reoviridae sp.,2585267,Reovirales,,,1
Reovirus sp.,10891,Reovirales,,,1
Reticuloendotheliosis virus,11636,Ortervirales,Retroviridae,Gammaretrovirus,0
Retroviridae sp.,2681591,Ortervirales,Retroviridae,,0
Rhabdoviridae sp.,1955137,Mononegavirales,Rhabdoviridae,,1
Riboviria sp.,2585031,,,,2
Riiser virus,2707256,,,,2
Rockhopper penguin papillomavirus,2962496,Zurhausenvirales,Papillomaviridae,,0
Ross River virus,11029,Martellivirales,Togaviridae,Alphavirus,1
Ross virus,2707258,,,,2
Rotavirus A,28875,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus D,335100,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus F,183405,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus G,183407,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus sp.,10970,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-000818/2008,661052,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-004782/2008,661053,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-005329/2008,661054,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-005331/2008,661055,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-007553/2007,661056,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-007554/2007,661057,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-007555/2007,661058,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-007861/2007,664658,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-007862/2007,661059,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-007863/2007,661060,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-016170/2008,661061,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-016171/2008,661062,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-022564/2008,661063,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-022565/2008,661064,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-035365/2007,661065,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-046159/2007,661066,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-047428/2008,661067,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-048814/2008,661068,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-049007/2007,661069,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-049317/2007,664644,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-052725/2007,661070,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-053540/2007,661071,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-053578/2007,661072,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-053706/2007,661073,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-053853/2007,661074,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-054413/2007,661075,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-055423/2007,661076,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-055431/2008,661077,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-055471/2008,661078,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-056058/2007,661079,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-056826/2007,661080,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-058211/2007,661081,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-058212/2007,661082,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-058648/2007,661083,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-059191/2007,661084,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-059867/2008,664646,Reovirales,Sedoreoviridae,Rotavirus,1
Rotavirus turkey/MN/D-22852/2007,661085,Reovirales,Sedoreoviridae,Rotavirus,1
Rous sarcoma virus,11886,Ortervirales,Retroviridae,Alpharetrovirus,0
Ruddy turnstone astrovirus,2565393,Stellavirales,Astroviridae,,1
Ruddy turnstone calicivirus,2565394,Picornavirales,Caliciviridae,,1
Ruddy turnstone calicivirus A,2212768,Picornavirales,Caliciviridae,,1
Ruddy turnstone calicivirus B,2212769,Picornavirales,Caliciviridae,,1
Ruddy turnstone rotavirus,2212774,Reovirales,Sedoreoviridae,Rotavirus,1
Rymill virus,2707259,,,,2
Rynchops niger coronavirus,1934038,Nidovirales,Coronaviridae,Deltacoronavirus,1
Salmonella phage DaR-2019a,2571168,,,Felixounavirus,1
Salmonella phage DaR-2019b,2571169,,,Felixounavirus,1
Salmonella phage SP1a,2109652,,Demerecviridae,Tequintavirus,1
Sapelovirus sp.,2809836,Picornavirales,Picornaviridae,Sapelovirus,1
Schouten virus,2707260,,,,2
Scott virus,2707261,,,,2
Sedov virus,2707262,,,,2
Senko virus,2707263,,,,2
Serdyukov virus,2707264,,,,2
Serinus canaria papillomavirus 1,2094713,Zurhausenvirales,Papillomaviridae,Etapapillomavirus,0
Sewage-associated circular DNA virus,3138952,,,,2
Shackleton virus,2707265,,,,2
Sharp-tailed sandpiper Picornavirus B-like,2592521,Picornavirales,Picornaviridae,,1
Shelduck calicivirus,2212776,Picornavirales,Caliciviridae,,1
Shelduck picobirnavirus I,2212779,Durnavirales,Picobirnaviridae,,1
Shelduck picobirnavirus II,2212780,Durnavirales,Picobirnaviridae,,1
Shelduck picobirnavirus III,2212781,Durnavirales,Picobirnaviridae,,1
Shelduck rhabdovirus,2212784,Mononegavirales,Rhabdoviridae,,1
Shelvocke virus,2707266,,,,2
Shirase virus,2707267,,,,2
Shorebird deltacoronavirus,2776968,Nidovirales,Coronaviridae,Deltacoronavirus,1
Short beak and dwarfism syndrome virus,3118410,Piccovirales,Parvoviridae,,0
Siadenovirus sp.,2671519,Rowavirales,Adenoviridae,Siadenovirus,0
Sicinivirus A,1755588,Picornavirales,Picornaviridae,Sicinivirus,1
Sicinivirus sp.,1930506,Picornavirales,Picornaviridae,Sicinivirus,1
Sindbis virus,11034,Martellivirales,Togaviridae,Alphavirus,1
Skua siadenovirus A,886980,Rowavirales,Adenoviridae,Siadenovirus,0
Smacoviridae sp.,2715094,Cremevirales,Smacoviridae,,0
Small anellovirus,393049,,Anelloviridae,,0
Smith virus,2707268,,,,2
Smooth billed ani adenovirus 1,2691031,Rowavirales,Adenoviridae,Aviadenovirus,0
Somov virus,2707269,,,,2
South polar skua adenovirus-2,886981,Rowavirales,Adenoviridae,Siadenovirus,0
South polar skua adenovirus-3,886982,Rowavirales,Adenoviridae,Siadenovirus,0
South polar skua adenovirus-4,886983,Rowavirales,Adenoviridae,Siadenovirus,0
South polar skua adenovirus-5,886984,Rowavirales,Adenoviridae,Siadenovirus,0
Sparrow coronavirus HKU17,1159906,Nidovirales,Coronaviridae,Deltacoronavirus,1
Sparrow deltacoronavirus,2219863,Nidovirales,Coronaviridae,Deltacoronavirus,1
Spata circovirus,3138815,Cirlivirales,Circoviridae,Circovirus,0
Spheniscid alphaherpesvirus 2,3134033,Herpesvirales,Orthoherpesviridae,,0
Spheniscus humboldti poxvirus,1884826,Chitovirales,Poxviridae,Avipoxvirus,1
Strigid herpesvirus 1,2171489,Herpesvirales,Orthoherpesviridae,,0
Strix aluco herpesvirus,2928400,Herpesvirales,,,0
Strix nebulosa herpesvirus,3074439,Herpesvirales,,,0
Strix uralensis herpesvirus,2489503,Herpesvirales,,,0
Stroud virus,2707270,,,,2
Sturnus papillomavirus,3106067,Zurhausenvirales,Papillomaviridae,,0
Sulid herpesvirus 1,1638619,Herpesvirales,Orthoherpesviridae,,0
Sunrhavirus alexandria,2956478,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus bimbo,2956479,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus garba,2734404,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus kolongo,2956481,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus matariya,2956482,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus nasoule,2956485,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus ouango,2956483,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus sandjimba,2956484,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Sunrhavirus sunguru,2734408,Mononegavirales,Rhabdoviridae,Sunrhavirus,1
Swan goose coronavirus,3064243,Nidovirales,Coronaviridae,Gammacoronavirus,1
Sylvia atricapilla herpesvirus,2717890,Herpesvirales,,,0
Syrmaticus ellioti CRESS-DNA-virus sp.,2815058,,,,2
Syrmaticus ellioti parvo-like hybrid virus,2794537,Piccovirales,Parvoviridae,,0
Syrmaticus reevesii CRESS-DNA-virus sp.,2815059,,,,2
Tarbeyev virus,2707271,,,,2
Tarsiger cyanurus CRESS-DNA-virus sp.,2815060,,,,2
Tarsiger cyanurus Genomoviridae sp.,2814994,Geplafuvirales,Genomoviridae,,0
Tarsiger cyanurus parvoviridae sp.,2794540,Piccovirales,Parvoviridae,,0
Tawny frogmouth aviadenovirus A,3042372,Rowavirales,Adenoviridae,Aviadenovirus,0
Telmo virus,2707272,,,,2
Temminck's stint calicivirus,2976936,Picornavirales,Caliciviridae,,1
Tern adenovirus,2820437,Rowavirales,Adenoviridae,,0
Tern atadenovirus 1,2913659,Rowavirales,Adenoviridae,Atadenovirus,0
Tetrao urogallus alphaherpesvirus 1,3077833,Herpesvirales,Orthoherpesviridae,,0
Thalassarchid herpesvirus 1,1770233,Herpesvirales,,,0
Thetapapillomavirus 1,197772,Zurhausenvirales,Papillomaviridae,Thetapapillomavirus,0
Thinornis picornavirus,3106068,Picornavirales,Picornaviridae,,1
Thrush coronavirus HKU12-600,572290,Nidovirales,Coronaviridae,Deltacoronavirus,1
Tibet bird virus 1,2836148,,,,2
Tibet bird virus 2,2836149,,,,2
Tick-associated DNA virus,3138950,,,,2
Tick-associated circular DNA virus,2963861,,,,2
Tinamou hepatitis B virus,2018685,Blubervirales,Hepadnaviridae,Avihepadnavirus,1
Tolstikov virus,2707273,,,,2
Torque teno virus,68887,,Anelloviridae,,0
Totiviridae sp.,1955172,Ghabrivirales,Totiviridae,,1
Toutouwai hepatovirus,2996228,Picornavirales,Picornaviridae,Hepatovirus,1
Tragopan caboti CRESS-DNA-virus sp.,2815061,,,,2
Treisepsilonpapillomavirus 1,1921778,Zurhausenvirales,Papillomaviridae,Treisepsilonpapillomavirus,0
Treiszetapapillomavirus 1,1922208,Zurhausenvirales,Papillomaviridae,Treiszetapapillomavirus,0
Tremovirus A,70796,Picornavirales,Picornaviridae,Tremovirus,1
Treshnikov virus,2707274,,,,2
Tropical screech owl adenovirus 1,2691032,Rowavirales,Adenoviridae,Atadenovirus,0
Tunzelmann virus,2707275,,,,2
Tupavirus durham,1972581,Mononegavirales,Rhabdoviridae,Tupavirus,1
Turdid alphaherpesvirus 1,2936981,Herpesvirales,Orthoherpesviridae,,0
Turdus hortulorum CRESS-DNA-virus sp.,2815062,,,,2
Turdus hortulorum parvoviridae sp.,2794538,Piccovirales,Parvoviridae,,0
Turdus merula herpesvirus,2717891,Herpesvirales,,,0
Turdus naumanni CRESS-DNA-virus sp.,2815063,,,,2
Turdus naumanni Ichthamaparvovirus,2794551,Piccovirales,Parvoviridae,Ichthamaparvovirus,0
Turdus naumanni parvoviridae sp.,2794525,Piccovirales,Parvoviridae,,0
Turdus pallidus Chaphamaparvovirus,2794492,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Turdus pallidus parvoviridae sp.,2794526,Piccovirales,Parvoviridae,,0
Turkey astrovirus,70793,Stellavirales,Astroviridae,Avastrovirus,1
Turkey astrovirus 3,298903,Stellavirales,Astroviridae,Avastrovirus,1
Turkey aviadenovirus 2,878330,Rowavirales,Adenoviridae,Aviadenovirus,0
Turkey aviadenovirus B,1146875,Rowavirales,Adenoviridae,Aviadenovirus,0
Turkey aviadenovirus C,1962301,Rowavirales,Adenoviridae,Aviadenovirus,0
Turkey aviadenovirus D,1962302,Rowavirales,Adenoviridae,Aviadenovirus,0
Turkey parvovirus Croatia/Munt/2010,1048870,Piccovirales,Parvoviridae,Protoparvovirus,0
Turkey parvovirus Tu33/2010/HUN,881311,Piccovirales,Parvoviridae,Protoparvovirus,0
Turkey parvovirus Tu762/2009/HUN,881312,Piccovirales,Parvoviridae,Protoparvovirus,0
Turkey picobirnavirus,1494923,Durnavirales,Picobirnaviridae,Picobirnavirus,1
Turkey picornavirus,1819752,Picornavirales,Picornaviridae,,1
Turkey siadenovirus A,298333,Rowavirales,Adenoviridae,Siadenovirus,0
Turkeypox virus,336486,Chitovirales,Poxviridae,Avipoxvirus,1
Tyabin virus,2707276,,,,2
Tymoviridae sp. XZN137671,2836004,Tymovirales,Tymoviridae,,1
Ui-te-Rangiora virus,2707277,,,,2
Umatilla virus,40060,Reovirales,Sedoreoviridae,Orbivirus,1
Uukuvirus uriae,3052810,Bunyavirales,Phenuiviridae,Uukuvirus,1
Varley virus,2707278,,,,2
