NCBI Taxon ID,size,gc,genes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10261,288539,31,260,0.083616935,-0.13229057,-0.09936542,0.03296102,0.031620465,0.21246658,0.15872736,0.0983873,-0.071265295,0.11901739,-0.09611717,-0.20258933,-0.058954038,-0.0798858,0.07237361,0.0750764,0.14046502,-0.26066643,-0.10569961,-0.0015904102,-0.011638328,0.05447408,0.13353908,-0.10735003,0.032797962,-0.07733102,-0.106942266,-0.25701356,-0.14830625,-0.053225663,-0.09828524,-0.25512743,-0.093346134,-0.11313543,-0.0076554716,-0.092261195,-0.19723284,-0.118733,-0.20414355,-0.086319804,-0.13989285,0.12197932,-0.00042032078,0.13796008,0.07582867,-0.025933996,-0.2266348,-0.025673393,-0.12369865,-0.023075536
10264,282356,29,271,0.083616935,-0.13229057,-0.09936542,0.03296102,0.031620465,0.21246658,0.15872736,0.0983873,-0.071265295,0.11901739,-0.09611717,-0.20258933,-0.058954038,-0.0798858,0.07237361,0.0750764,0.14046502,-0.26066643,-0.10569961,-0.0015904102,-0.011638328,0.05447408,0.13353908,-0.10735003,0.032797962,-0.07733102,-0.106942266,-0.25701356,-0.14830625,-0.053225663,-0.09828524,-0.25512743,-0.093346134,-0.11313543,-0.0076554716,-0.092261195,-0.19723284,-0.118733,-0.20414355,-0.086319804,-0.13989285,0.12197932,-0.00042032078,0.13796008,0.07582867,-0.025933996,-0.2266348,-0.025673393,-0.12369865,-0.023075536
10407,3248,48,4,0.15433198,-0.17475009,0.022434076,-0.018923318,0.06414471,0.23611887,0.12827323,0.12940165,-0.12496074,0.06424108,0.110539064,-0.19997942,-0.1992374,-0.24896646,0.08005098,-0.044919986,0.10201471,-0.18882187,-0.095832616,-0.038522214,0.08068594,0.02359811,0.12511969,-0.111788385,0.007496709,-0.083770506,-0.113115564,-0.16719079,-0.028425958,0.0095329285,-0.2374893,-0.23952305,-0.1872533,-0.15352955,0.13423891,0.035065737,-0.20485665,-0.11216529,-0.2001031,-0.059485056,-0.06019548,0.12721466,-0.051250327,0.17154372,0.006101243,-0.0630517,-0.22296953,0.009880354,-0.13759837,-0.080784425
10535,0,0,0,0.032609962,-0.19696224,-0.057794772,0.12101077,0.10969527,0.19786493,0.08879906,0.14678565,0.017604155,0.09697595,-0.15199015,-0.1688617,-0.2581723,-0.21446797,-0.006792845,0.17646825,0.18358739,-0.19123176,-0.014128547,0.077851824,-0.011141416,-0.029269427,0.10138489,-0.04321474,0.04159666,-0.13888575,-0.14419307,-0.29097664,-0.0034204796,0.09953548,-0.2048784,-0.27931017,-0.277777,-0.11131743,0.2375423,-0.019850262,-0.29665396,-0.2467137,-0.111462325,0.069996506,-0.13988812,0.15222666,-0.07979104,0.113587774,0.10295107,0.06529793,-0.19294754,0.045379587,-0.289046,0.01678333
10891,0,0,0,0.2695029,-0.16938338,-0.2120868,0.16741443,0.28803828,0.27994323,0.088105194,0.12020633,-0.03553638,-0.011763779,-0.15858313,-0.20878871,-0.14143935,-0.14660673,-0.03864863,-0.0032726722,0.10805599,-0.19887467,0.09104089,0.100085616,-0.001618024,-0.19371459,0.116533205,-0.21323234,0.130636,-0.10972573,-0.1612467,-0.29243442,-0.2400398,0.00070085377,-0.17744872,-0.30523026,-0.118016236,-0.21767274,0.1285299,0.13567087,-0.27890903,-0.25685567,-0.14030167,0.1375866,-0.078504205,0.11524141,-0.03083415,0.09847323,0.164125,0.006818041,-0.29451382,0.18871756,-0.16989143,-0.010337204
10970,0,0,0,0.23246872,-0.12234925,-0.18654656,0.19026354,0.266402,0.22610831,0.08475179,0.12464793,-0.06184534,-0.06619467,-0.075169355,-0.22497413,-0.32314277,-0.10707426,0.12926178,0.14097816,0.18662758,-0.11035978,-0.056428175,0.20018384,0.05374744,-0.088551134,0.130162,-0.15192875,0.15197198,-0.14127973,-0.22860917,-0.35732093,-0.16511625,0.08073489,-0.23556116,-0.28802153,-0.047144264,-0.12639046,0.17017639,0.032169413,-0.3242004,-0.29817763,-0.10470974,0.08441049,-0.094407335,0.13294263,0.021294858,0.061904732,0.09303415,-0.1486188,-0.24269602,0.15085268,-0.28067368,-0.123841524
11021,11675,48,4,0.21973354,-0.11624175,-0.05360439,0.19513726,0.100986496,0.20959413,0.07700433,0.078101814,-0.03681166,-0.07018043,0.067266464,-0.28486714,-0.25181702,-0.026787508,0.08469124,0.017349578,0.1483621,-0.10552575,0.10063247,0.053599566,0.06610885,-0.033047196,0.30351484,-0.071351536,-0.0048293434,-0.14765783,-0.10763088,-0.030547362,-0.1460329,0.042801343,-0.22939347,-0.3393866,-0.13687254,-0.07584904,0.24640432,0.07056314,-0.19209564,-0.105256416,-0.17315117,-0.06408969,-0.05619449,0.08970456,0.09277482,0.06878798,0.18277088,-0.14831722,-0.18683913,-0.002518274,0.00080733746,0.012576975
11023,11550,53,2,0.21973354,-0.11624175,-0.05360439,0.19513726,0.100986496,0.20959413,0.07700433,0.078101814,-0.03681166,-0.07018043,0.067266464,-0.28486714,-0.25181702,-0.026787508,0.08469124,0.017349578,0.1483621,-0.10552575,0.10063247,0.053599566,0.06610885,-0.033047196,0.30351484,-0.071351536,-0.0048293434,-0.14765783,-0.10763088,-0.030547362,-0.1460329,0.042801343,-0.22939347,-0.3393866,-0.13687254,-0.07584904,0.24640432,0.07056314,-0.19209564,-0.105256416,-0.17315117,-0.06408969,-0.05619449,0.08970456,0.09277482,0.06878798,0.18277088,-0.14831722,-0.18683913,-0.002518274,0.00080733746,0.012576975
11024,11526,49,3,0.21973354,-0.11624175,-0.05360439,0.19513726,0.100986496,0.20959413,0.07700433,0.078101814,-0.03681166,-0.07018043,0.067266464,-0.28486714,-0.25181702,-0.026787508,0.08469124,0.017349578,0.1483621,-0.10552575,0.10063247,0.053599566,0.06610885,-0.033047196,0.30351484,-0.071351536,-0.0048293434,-0.14765783,-0.10763088,-0.030547362,-0.1460329,0.042801343,-0.22939347,-0.3393866,-0.13687254,-0.07584904,0.24640432,0.07056314,-0.19209564,-0.105256416,-0.17315117,-0.06408969,-0.05619449,0.08970456,0.09277482,0.06878798,0.18277088,-0.14831722,-0.18683913,-0.002518274,0.00080733746,0.012576975
11029,11948,51,2,0.21973354,-0.11624175,-0.05360439,0.19513726,0.100986496,0.20959413,0.07700433,0.078101814,-0.03681166,-0.07018043,0.067266464,-0.28486714,-0.25181702,-0.026787508,0.08469124,0.017349578,0.1483621,-0.10552575,0.10063247,0.053599566,0.06610885,-0.033047196,0.30351484,-0.071351536,-0.0048293434,-0.14765783,-0.10763088,-0.030547362,-0.1460329,0.042801343,-0.22939347,-0.3393866,-0.13687254,-0.07584904,0.24640432,0.07056314,-0.19209564,-0.105256416,-0.17315117,-0.06408969,-0.05619449,0.08970456,0.09277482,0.06878798,0.18277088,-0.14831722,-0.18683913,-0.002518274,0.00080733746,0.012576975
