,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
61,63520,16.0,17.0,28.1,0.0,5.0,3.0,3662121.88,2.0,1,3,111.12459498695976
62,57439,3.0,105.0,66.93,0.0,5.0,4.0,47411719.4,3.0,3,3,111.12459498746426
63,51910,22.0,78.0,62.1,1.0,1.0,3.0,2934508.29,2.0,1,1,111.12459498680737
64,411517,16.0,102.0,60.6,0.0,5.0,4.0,4390032.16,10.0,2,1,111.12459498699609
65,48397,1.0,6.0,11071.13,1.0,3.0,1.0,1375549.41,9.0,3,3,111.1245949865492
66,468493,16.0,97.0,26.1,0.0,5.0,4.0,1314073.16,2.0,1,1,111.12459498699609
67,8909,6.0,20.0,187.95,0.0,7.0,4.0,8392007.79,9.0,3,1,111.1245949871422
68,47245,8.0,23.0,118.93,1.0,2.0,4.0,11131808.01,4.0,3,1,111.1245949865514
69,36250,16.0,37.0,20.54,1.0,2.0,2.0,11090010.05,2.0,2,3,111.12459498704956
70,95723,19.0,84.0,617.99,1.0,1.0,3.0,4573489.81,3.0,2,1,111.12459498708466
71,177155,8.0,23.0,132.0,1.0,2.0,4.0,17578320.62,10.0,2,3,111.1245949865122
72,176074,22.0,79.0,58.7,1.0,6.0,3.0,307384.24,2.0,1,1,111.1245949868121
73,2162957,17.0,9.0,259.0,0.0,0.0,4.0,133125.33,0.0,3,1,111.12459498699609
74,126866,21.0,,36.9,0.0,0.0,0.0,347898.56,5.0,3,3,111.1245949869491
75,51900,22.0,78.0,1331.0,1.0,1.0,3.0,536784.2,2.0,2,1,111.1245949869944
76,471127,8.0,23.0,47.8,1.0,2.0,4.0,5572643.25,10.0,2,1,111.1245949864574
77,190152,22.0,78.0,343.01,1.0,7.0,3.0,3598973.77,2.0,1,1,111.12459498643832
78,37598,16.0,37.0,23.81,2.0,5.0,2.0,13931193.45,2.0,2,2,111.12459498741046
79,51355,19.0,72.0,131.46,0.0,5.0,2.0,15712040.85,8.0,2,2,111.12459498782508
80,176041,22.0,79.0,70.54,1.0,7.0,3.0,663167.13,10.0,2,1,111.12459498674066
81,56349,11.0,34.0,335.76,0.0,9.0,0.0,12113135.74,3.0,3,2,111.12459498699609
82,45632,1.0,6.0,882.76,1.0,3.0,1.0,8845309.64,9.0,3,2,111.12459498652072
83,211877,22.0,78.0,56.2,1.0,7.0,3.0,279157.1,2.0,1,2,111.12459498649308
84,541013,1.0,6.0,999.99,1.0,3.0,1.0,5216896.73,9.0,3,2,111.12459498660648
85,161648,16.0,11.0,31.58,1.0,1.0,3.0,7437954.14,10.0,2,3,111.12459498672654
86,3151041,1.0,6.0,885.22,0.0,0.0,4.0,2173785.4,0.0,3,2,111.12459498649504
87,37600,16.0,37.0,16.0,1.0,2.0,3.0,15348675.33,10.0,2,1,111.12459498745336
88,48883,16.0,98.0,24.0,1.0,2.0,4.0,7699.87,8.0,2,1,111.12459498778742
89,8876,1.0,6.0,689.99,1.0,3.0,1.0,27415311.66,9.0,3,2,111.12459498653207
90,297828,6.0,45.0,139.0,0.0,0.0,0.0,2102848.54,5.0,3,3,111.1245949863844
91,272047,6.0,88.0,26.79,0.0,0.0,4.0,971179.99,3.0,3,3,111.12459498631738
92,28713,16.0,44.0,51.59,0.0,5.0,3.0,8852504.29,8.0,3,3,111.12459498687254
93,369484,16.0,66.0,11.79,0.0,5.0,3.0,203488.86,2.0,1,1,111.12459498799112
94,30399,0.0,1.0,2043.0,3.0,8.0,4.0,10764077.19,8.0,2,1,111.1245949874366
95,85526,16.0,62.0,10.5,0.0,5.0,3.0,8384905.8,2.0,1,1,111.12459498702624
96,197939,1.0,6.0,574.0,1.0,3.0,1.0,6827514.86,9.0,3,3,111.1245949865907
97,52644,0.0,1.0,4700.58,0.0,7.0,2.0,9351853.96,9.0,3,3,111.12459498741556
98,126679,6.0,45.0,307.41,0.0,0.0,0.0,1565115.04,5.0,3,2,111.12459498699609
99,84817,16.0,43.0,62.48,0.0,7.0,4.0,5280448.27,4.0,3,2,111.12459498682864
100,151759,22.0,78.0,416.0,1.0,1.0,3.0,1002214.41,2.0,2,1,111.12459498686738
101,108405,6.0,45.0,129.15,0.0,0.0,0.0,30248469.5,5.0,3,3,111.12459498638982
102,358814,16.0,53.0,16.2,2.0,5.0,3.0,4822744.76,2.0,2,3,111.12459498761068
103,8987,12.0,28.0,894.99,1.0,1.0,3.0,5614395.75,2.0,1,1,111.12459498706838
