NCBI Taxon ID,mass,range size,habitat density,migration,evolutionary distinctiveness,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
176066,120,2854802,2,1,111,0.04151225,0.10226917,0.24508263,0.119346,-0.24632937,0.0043358654,-0.1644205,0.07242441,-0.06751862,0.23896897,0.23049825,-0.053489767,-0.09540201,-0.031798627,0.01256308,-0.017816285,0.2857178,0.0031665526,-0.111476704,0.013104759,-0.10874929,-0.18672283,-0.072990164,-0.27634096,-0.05478678,0.028438626,-0.092048675,-0.013884991,0.063105375,0.058006614,0.06570317,0.13195151,-0.040501926,-0.1214526,-0.08235592,0.15853208,-8.951686e-05,0.10429694,-0.17019454,-0.3326702,-0.01675843,0.16699174,0.11997242,-0.051408812,-0.08879896,-0.10497353,0.024804167,-0.13162962,-0.15885727,-0.112288475
30387,1118,6127779,3,2,111,0.06261159,-0.016379096,0.19110091,-0.099044584,-0.2961416,0.040562183,-0.17199188,0.24547388,-0.10626052,0.1533436,0.19293806,-0.068544,-0.0007816851,-0.27581096,0.18294823,-0.044758134,0.24762017,-0.015875757,0.002936259,-0.09186601,-0.07055288,-0.1546479,-0.18456174,-0.2416792,-0.09938274,-0.120221116,0.020755414,0.1257497,0.08378941,0.21812017,0.14011902,-0.01370969,0.1103002,-0.19565123,0.0328962,0.054777898,-0.09092548,0.24411373,-0.15380937,-0.2791528,0.0142916795,-0.033908658,0.2553511,-0.07917267,-0.0016698041,-0.10879271,0.1385597,-0.20996988,-0.2335022,-0.20174049
241588,274,1483974,1,1,111,0.10292068,0.09922931,0.30070716,0.06622061,-0.22167704,0.0016411245,-0.19497053,0.07918435,-0.049146246,0.22300449,0.23453256,-0.08524478,-0.13567744,-0.062701434,0.020127714,-0.011516086,0.29990855,0.0012181923,-0.0610721,0.038605534,-0.05209194,-0.18334112,-0.06824588,-0.27086377,-0.081859216,-0.017612766,-0.0773586,0.023988947,0.13344854,0.024124555,0.082842216,0.15559632,0.01255358,-0.14729899,-0.10921715,0.197173,0.022519091,0.0399931,-0.16832057,-0.39557877,-0.0037626587,0.16311638,0.12693481,-0.08806215,-0.091828324,-0.06430079,0.02842431,-0.18198347,-0.16540745,-0.08206348
64278,160,5121813,3,1,111,0.19773176,0.120055676,0.15831563,0.025883947,-0.21722104,-0.07885825,-0.08608961,0.19064224,-0.039365683,0.16122082,0.18050094,0.1274102,0.10149078,-0.033773042,0.056345783,-0.0010724422,0.20268753,0.09768699,-0.22234394,-0.051217534,-0.074612394,-0.20061916,-0.079108834,-0.11672031,-0.041466147,-0.11472868,0.03248289,-0.013156481,0.023125235,0.095137104,0.11500138,0.15544625,0.050945595,-0.14823402,0.050289415,0.12572776,-0.07481012,0.16813669,-0.17030148,-0.35720843,0.025216412,0.20645308,0.052170586,-0.031227887,-0.028862363,-0.168208,-0.0092407875,-0.17628399,-0.22822078,-0.035429984
224669,759,16600070,3,2,111,0.21335419,0.08077054,0.11147223,0.10587458,-0.08582393,-0.044571277,-0.05287893,0.059185725,-0.0042442493,0.15731695,0.2393148,0.040501304,0.012491699,-0.12966876,0.08180191,-0.17131841,0.14836265,0.024628524,0.07274926,-0.09696357,0.036362916,-0.2247909,-0.052058157,-0.18386632,-0.080236144,-0.05318164,-0.1388556,-0.12871316,0.16042253,0.077456236,0.14717601,0.11802544,0.056490976,-0.18870029,0.04280545,0.08498198,-0.17536834,0.1391495,-0.26517275,-0.362897,0.1081285,0.05317205,0.15366805,-0.02481182,-0.10964413,-0.21533862,0.08149041,-0.2649664,-0.19857061,-0.01575481
2811340,8905,65315176,3,3,111,0.14003024,0.08137794,0.20607017,-0.0073202625,0.02034733,-0.088992015,-0.09387627,0.053896558,0.03535049,0.010018937,0.30436185,-0.012867384,0.16270734,-0.22149518,0.11824333,0.0034062974,0.2613192,0.016287401,0.033685006,-0.20061511,0.15104523,-0.31624582,-0.2666383,-0.1495599,-0.049242057,-0.06389411,-0.06963011,-0.04474997,0.15917958,0.205395,0.11511699,0.17345679,0.13696945,-0.121099316,0.13072318,0.11727095,-0.040894523,0.21679138,-0.10949656,-0.1868597,0.060126513,0.023933135,0.20787384,-0.006958984,-0.11475939,-0.0855877,0.10587205,-0.1666937,-0.27243188,-0.0952548
116992,192,4058798,1,1,111,0.17814246,0.17232805,0.21085812,-0.0030126758,-0.34559202,-0.056104314,-0.18001404,0.14022008,-0.053538267,0.15707754,0.2575459,-0.024345558,-0.030963542,-0.06669756,0.10518707,0.004160559,0.2131925,0.11771813,-0.04509366,-0.039900694,0.046089284,-0.22740754,0.084941365,-0.30478132,-0.10825802,-0.06235894,-0.11900335,0.11044077,0.09544422,0.07367614,0.087992676,0.19492102,0.015362702,-0.109558105,0.006568618,0.07424851,0.0414489,0.03075766,-0.21006238,-0.36395085,0.096946776,0.12687305,0.19612055,-0.08269061,-0.0628491,-0.06999902,0.015812356,-0.26197726,-0.25906223,-0.012199887
30414,3590,2976931,3,1,111,0.24391237,-0.018425412,0.17962264,-0.05203767,-0.1521977,-0.1088351,-0.06113159,0.23062538,-0.1423351,0.16257933,0.17664546,0.03235972,-0.021899924,-0.06920254,0.14407213,-0.051877223,0.2166035,0.059889924,-0.1071365,-0.06287737,-0.04576502,-0.14182127,-0.2029172,-0.09828445,-0.03957199,-0.12194649,-0.010991764,-0.05708111,0.06319472,0.093056604,0.21805933,0.14722693,0.07801351,-0.10499531,0.0011027306,0.124154955,-0.054679133,0.24862586,-0.17746674,-0.33982378,-0.010328848,0.18655829,-0.0006381385,0.015251238,-0.13570581,-0.12247916,0.11539756,-0.19337785,-0.21044715,-0.05442462
75852,959,210448,3,1,111,0.06261159,-0.016379096,0.19110091,-0.099044584,-0.2961416,0.040562183,-0.17199188,0.24547388,-0.10626052,0.1533436,0.19293806,-0.068544,-0.0007816851,-0.27581096,0.18294823,-0.044758134,0.24762017,-0.015875757,0.002936259,-0.09186601,-0.07055288,-0.1546479,-0.18456174,-0.2416792,-0.09938274,-0.120221116,0.020755414,0.1257497,0.08378941,0.21812017,0.14011902,-0.01370969,0.1103002,-0.19565123,0.0328962,0.054777898,-0.09092548,0.24411373,-0.15380937,-0.2791528,0.0142916795,-0.033908658,0.2553511,-0.07917267,-0.0016698041,-0.10879271,0.1385597,-0.20996988,-0.2335022,-0.20174049
8928,3445,5196114,3,3,111,0.18721558,0.014187451,0.16991964,0.02033043,-0.10731983,-0.124091744,-0.082151264,-0.022248691,-0.04543018,0.115177944,0.26666802,0.10151163,0.047284853,-0.09978398,0.100082844,-0.06668304,0.18142374,0.016499076,-0.030457865,-0.10882144,0.0011587497,-0.22580653,-0.20730065,-0.10100357,0.10569015,-0.110091366,0.0053395405,-0.06537588,0.0819363,0.05502084,0.20512407,0.18136045,0.17147966,-0.14080024,0.036005646,0.2303959,-0.061222017,0.1786514,-0.18973078,-0.26395047,0.046441175,0.10791205,0.06980969,0.11736171,-0.105681665,-0.18523295,0.021429121,-0.23543641,-0.18086597,0.022498658
1560315,163,68,1,1,111,0.07729295,0.09346467,0.2932443,0.049462497,-0.24480565,-0.03316758,-0.18931809,0.095774144,-0.022527102,0.20112456,0.29928213,-0.120399535,-0.06129117,-0.077678174,0.115949824,-0.020675486,0.25755087,0.033960838,-0.017003607,0.043670066,-0.040358376,-0.19512495,-0.021578692,-0.31098354,-0.09711855,-0.051769458,-0.18420102,0.076594226,0.15679994,0.015198521,0.06359161,0.1932052,0.03269922,-0.13079926,-0.067034185,0.16116668,0.07514274,0.012365904,-0.16080737,-0.37355676,0.07595572,0.1617096,0.12882216,-0.079118654,-0.1136136,-0.06272708,0.06701148,-0.24113634,-0.1826495,-0.092642434
9187,102,13987855,2,1,111,0.19705899,0.18683419,0.18025869,-0.06310246,-0.24514419,-0.108558536,-0.108308986,0.18933988,-0.011199821,0.112426355,0.16912732,-0.0038622543,0.051259752,-0.1547504,0.0034875646,-0.06514535,0.1726299,0.02352937,-0.12091935,-0.023484506,0.05748619,-0.24041557,-0.013281293,-0.17161654,-0.09401268,-0.048097104,0.0033611844,0.019604422,0.049474776,0.06498185,0.15548775,0.2260964,0.030481027,-0.22496188,0.04880199,0.122790866,-0.03376507,0.08733993,-0.090232536,-0.49005982,0.02164089,0.19243586,0.02374703,-0.20770209,-0.04136574,-0.10942093,0.1849392,-0.18423396,-0.26622906,0.023188265
279940,43,1363375,3,3,111,0.23401389,-0.075724036,0.1340464,-0.035879143,-0.05987691,-0.091545135,-0.11820057,0.10378948,0.050360203,0.09060375,0.26168776,0.018449962,0.11340091,-0.20500275,0.16578081,0.005507922,0.107875094,0.04219271,-0.049607504,-0.10683971,0.11542761,-0.25810003,-0.14804955,-0.06266908,-0.031008292,-0.15882698,-0.00060774735,-0.029316828,0.10290074,0.2432823,0.1431074,0.14713795,0.17320403,-0.20751859,0.07930692,0.056144267,-0.069873594,0.266443,-0.19722435,-0.1432913,0.061439566,0.076740816,0.027907176,0.12429502,-0.09268504,-0.0451252,0.09883951,-0.18076968,-0.20457,-0.033982106
