,scientific name,alternative name,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
35,Thinornis novaeseelandiae,,425654,Charadriiformes,Charadriidae,61.0,Carnivore,Aquatic predator,Terrestrial,3.89,Coastal,3,2,111.12459498677948
36,Ciconia nigra,,36241,Ciconiiformes,Ciconiidae,2926.0,Carnivore,Aquatic predator,Terrestrial,18362407.3,Woodland,2,3,111.12459498728111
37,Accipiter nisus,,211598,Accipitriformes,Accipitridae,220.79,Carnivore,Vertivore,Insessorial,23601609.31,Forest,1,2,111.12459498748984
38,Oena capensis,,115679,Columbiformes,Columbidae,40.6,Herbivore,Granivore,Terrestrial,9891692.7,Shrubland,3,2,111.12459498631762
39,Calidris ptilocnemis,,217132,Charadriiformes,Scolopacidae,81.32,Carnivore,Aquatic predator,Terrestrial,320856.4,Grassland,3,3,111.12459498618828
40,Gyps indicus,,341451,Accipitriformes,Accipitridae,5515.0,Scavenger,Scavenger,Terrestrial,1117987.16,Grassland,3,1,111.12459498799326
41,Numenius arquata,,31919,Charadriiformes,Scolopacidae,802.99,Carnivore,Aquatic predator,Terrestrial,12491410.25,Grassland,3,3,111.1245949858703
42,Cacatua ducorpsii,,141834,Psittaciformes,Cacatuidae,394.0,Herbivore,Omnivore,Insessorial,32952.62,Forest,1,1,111.1245949872295
43,Dendrocygna javanica,,60182,Anseriformes,Anatidae,519.61,Herbivore,Herbivore aquatic,Aquatic,7094720.18,Wetland,3,2,111.12459498633308
44,Anas platyrhynchos platyrhynchos,Anas platyrhynchos,8840,Anseriformes,Anatidae,843.42,Herbivore,Herbivore aquatic,Aquatic,39707247.47,Wetland,3,2,111.12459498653108
45,Cyanoliseus patagonus bloxami,Cyanoliseus patagonus,657411,Psittaciformes,Psittacidae,277.88,Herbivore,Omnivore,Insessorial,899053.38,Shrubland,2,2,111.12459498699609
46,Pavo cristatus,,9049,Galliformes,Phasianidae,4154.81,Omnivore,Omnivore,Terrestrial,2837970.09,Forest,2,1,111.1245949867568
47,Buteo buteo,,30397,Accipitriformes,Accipitridae,759.1,Carnivore,Vertivore,Insessorial,16600070.45,Grassland,3,2,111.12459498753137
48,Larus michahellis,,119627,Charadriiformes,Laridae,1111.89,Carnivore,Aquatic predator,Generalist,858974.47,Coastal,3,2,111.1245949864948
49,Calidris minuta,,670340,Charadriiformes,Scolopacidae,21.1,Carnivore,Aquatic predator,Terrestrial,1734619.92,Grassland,3,3,111.12459498629012
50,Larus heuglini,Larus fuscus,174677,Charadriiformes,Laridae,762.36,Carnivore,Aquatic predator,Generalist,4200335.24,Coastal,3,2,111.1245949864894
51,Ploceus cucullatus,,135448,Passeriformes,Ploceidae,36.08,Herbivore,Granivore,Insessorial,13674390.28,Woodland,3,1,111.1245949868882
52,Enicognathus leptorhynchus,,345190,Psittaciformes,Psittacidae,193.0,Herbivore,Omnivore,Insessorial,127008.85,Forest,2,2,111.12459498710491
53,Ardea purpurea,,188373,Pelecaniformes,Ardeidae,1064.48,Carnivore,Aquatic predator,Terrestrial,34922824.77,Wetland,3,3,111.12459498740294
54,Manorina melanocephala,,44314,Passeriformes,Meliphagidae,60.22,Omnivore,Omnivore,Insessorial,2065246.62,Woodland,2,1,111.12459498705772
55,Neophema chrysogaster,,678581,Psittaciformes,Psittacidae,45.9,Herbivore,Granivore,Terrestrial,3129.58,Forest,2,1,111.1245949866079
56,Corvus frugilegus,,75140,Passeriformes,Corvidae,452.1,Omnivore,Omnivore,Terrestrial,19019081.22,Grassland,3,1,111.12459498683393
57,Ara militaris,,57237,Psittaciformes,Psittacidae,1134.0,Herbivore,Frugivore,Insessorial,281783.13,Forest,2,1,111.12459498697628
58,Eos reticulata,,176075,Psittaciformes,Psittaculidae,153.0,Herbivore,Omnivore,Insessorial,3616.55,Forest,1,1,111.12459498668905
59,Haemorhous mexicanus,Carpodacus mexicanus,30427,Passeriformes,Fringillidae,21.4,Herbivore,Granivore,Insessorial,10299459.91,Shrubland,2,2,111.12459498699609
60,Threskiornis molucca,,2671080,Pelecaniformes,Threskiornithidae,1794.89,Carnivore,Aquatic predator,Terrestrial,563710.25,Wetland,3,1,111.12459498737384
61,Piranga ludoviciana,,63520,Passeriformes,Cardinalidae,28.1,Carnivore,Invertivore,Insessorial,3662121.88,Forest,1,3,111.12459498695976
62,Upupa epops,,57439,Bucerotiformes,Upupidae,66.93,Carnivore,Invertivore,Terrestrial,47411719.4,Grassland,3,3,111.12459498746426
63,Pyrrhura picta,,51910,Psittaciformes,Psittacidae,62.1,Herbivore,Frugivore,Insessorial,2934508.29,Forest,1,1,111.12459498680737
64,Turdus libonyana,Turdus libonyanus,411517,Passeriformes,Turdidae,60.6,Carnivore,Invertivore,Terrestrial,4390032.16,Woodland,2,1,111.12459498699609
65,Cygnus buccinator,,48397,Anseriformes,Anatidae,11071.13,Herbivore,Herbivore aquatic,Aquatic,1375549.41,Wetland,3,3,111.1245949865492
66,Myrmoderus ferrugineus,Myrmeciza ferruginea,468493,Passeriformes,Thamnophilidae,26.1,Carnivore,Invertivore,Terrestrial,1314073.16,Forest,1,1,111.12459498699609
67,Vanellus spinosus,,8909,Charadriiformes,Charadriidae,187.95,Carnivore,Omnivore,Terrestrial,8392007.79,Wetland,3,1,111.1245949871422
68,Zenaida macroura,,47245,Columbiformes,Columbidae,118.93,Herbivore,Granivore,Terrestrial,11131808.01,Human Modified,3,1,111.1245949865514
69,Emberiza rustica,,36250,Passeriformes,Fringillidae,20.54,Herbivore,Granivore,Generalist,11090010.05,Forest,2,3,111.12459498704956
70,Ramphastos toco,,95723,Piciformes,Ramphastidae,617.99,Herbivore,Frugivore,Insessorial,4573489.81,Grassland,2,1,111.12459498708466
71,Streptopelia turtur,,177155,Columbiformes,Columbidae,132.0,Herbivore,Granivore,Terrestrial,17578320.62,Woodland,2,3,111.1245949865122
72,Psitteuteles goldiei,,176074,Psittaciformes,Psittaculidae,58.7,Herbivore,Nectarivore,Insessorial,307384.24,Forest,1,1,111.1245949868121
73,Egretta picata,Ardea picata,2162957,Pelecaniformes,Ardeidae,259.0,Carnivore,Aquatic predator,Terrestrial,133125.33,Coastal,3,1,111.12459498699609
74,Oceanodroma homochroa,,126866,Procellariiformes,,36.9,Carnivore,Aquatic predator,Aerial,347898.56,Marine,3,3,111.1245949869491
75,Anodorhynchus hyacinthinus,,51900,Psittaciformes,Psittacidae,1331.0,Herbivore,Frugivore,Insessorial,536784.2,Forest,2,1,111.1245949869944
76,Geopelia placida,,471127,Columbiformes,Columbidae,47.8,Herbivore,Granivore,Terrestrial,5572643.25,Woodland,2,1,111.1245949864574
77,Poicephalus robustus,,190152,Psittaciformes,Psittacidae,343.01,Herbivore,Omnivore,Insessorial,3598973.77,Forest,1,1,111.12459498643832
78,Fringilla coelebs,,37598,Passeriformes,Fringillidae,23.81,Omnivore,Invertivore,Generalist,13931193.45,Forest,2,2,111.12459498741046
79,Colaptes auratus,,51355,Piciformes,Picidae,131.46,Carnivore,Invertivore,Generalist,15712040.85,Shrubland,2,2,111.12459498782508
80,Glossopsitta concinna,,176041,Psittaciformes,Psittaculidae,70.54,Herbivore,Omnivore,Insessorial,663167.13,Woodland,2,1,111.12459498674066
81,Falco femoralis septentrionalis,Falco femoralis,56349,Falconiformes,Falconidae,335.76,Carnivore,Vertivore,Aerial,12113135.74,Grassland,3,2,111.12459498699609
82,Anas superciliosa,,45632,Anseriformes,Anatidae,882.76,Herbivore,Herbivore aquatic,Aquatic,8845309.64,Wetland,3,2,111.12459498652072
83,Bolborhynchus lineola,,211877,Psittaciformes,Psittacidae,56.2,Herbivore,Omnivore,Insessorial,279157.1,Forest,1,2,111.12459498649308
84,Netta peposaca,,541013,Anseriformes,Anatidae,999.99,Herbivore,Herbivore aquatic,Aquatic,5216896.73,Wetland,3,2,111.12459498660648
85,Bombycilla cedrorum,,161648,Passeriformes,Bombycillidae,31.58,Herbivore,Frugivore,Insessorial,7437954.14,Woodland,2,3,111.12459498672654
86,Tadorna radjah,,3151041,Anseriformes,Anatidae,885.22,Carnivore,Aquatic predator,Terrestrial,2173785.4,Coastal,3,2,111.12459498649504
87,Carduelis carduelis,,37600,Passeriformes,Fringillidae,16.0,Herbivore,Granivore,Insessorial,15348675.33,Woodland,2,1,111.12459498745336
88,Geospiza fortis,,48883,Passeriformes,Thraupidae,24.0,Herbivore,Granivore,Terrestrial,7699.87,Shrubland,2,1,111.12459498778742
89,Dendrocygna viduata,,8876,Anseriformes,Anatidae,689.99,Herbivore,Herbivore aquatic,Aquatic,27415311.66,Wetland,3,2,111.12459498653207
90,Sterna vittata,,297828,Charadriiformes,Laridae,139.0,Carnivore,Aquatic predator,Aerial,2102848.54,Marine,3,3,111.1245949863844
91,Calidris ruficollis,,272047,Charadriiformes,Scolopacidae,26.79,Carnivore,Aquatic predator,Terrestrial,971179.99,Grassland,3,3,111.12459498631738
92,Lanius ludovicianus,,28713,Passeriformes,Laniidae,51.59,Carnivore,Invertivore,Insessorial,8852504.29,Shrubland,3,3,111.12459498687254
93,Petroica macrocephala,,369484,Passeriformes,Petroicidae,11.79,Carnivore,Invertivore,Insessorial,203488.86,Forest,1,1,111.12459498799112
94,Necrosyrtes monachus,,30399,Accipitriformes,Accipitridae,2043.0,Scavenger,Scavenger,Terrestrial,10764077.19,Shrubland,2,1,111.1245949874366
95,Basileuterus culicivorus,,85526,Passeriformes,Parulidae,10.5,Carnivore,Invertivore,Insessorial,8384905.8,Forest,1,1,111.12459498702624
96,Aythya nyroca,,197939,Anseriformes,Anatidae,574.0,Herbivore,Herbivore aquatic,Aquatic,6827514.86,Wetland,3,3,111.1245949865907
97,Haliaeetus leucocephalus,,52644,Accipitriformes,Accipitridae,4700.58,Carnivore,Omnivore,Generalist,9351853.96,Wetland,3,3,111.12459498741556
98,Leucophaeus atricilla,Larus atricilla,126679,Charadriiformes,Laridae,307.41,Carnivore,Aquatic predator,Aerial,1565115.04,Marine,3,2,111.12459498699609
99,Euphagus cyanocephalus,,84817,Passeriformes,Icteridae,62.48,Carnivore,Omnivore,Terrestrial,5280448.27,Human Modified,3,2,111.12459498682864
100,Amazona autumnalis,,151759,Psittaciformes,Psittacidae,416.0,Herbivore,Frugivore,Insessorial,1002214.41,Forest,2,1,111.12459498686738
101,Sterna hirundo,,108405,Charadriiformes,Laridae,129.15,Carnivore,Aquatic predator,Aerial,30248469.5,Marine,3,3,111.12459498638982
102,Phoenicurus auroreus,,358814,Passeriformes,Muscicapidae,16.2,Omnivore,Invertivore,Insessorial,4822744.76,Forest,2,3,111.12459498761068
103,Penelope superciliaris,,8987,Galliformes,Cracidae,894.99,Herbivore,Frugivore,Insessorial,5614395.75,Forest,1,1,111.12459498706838
104,Zonotrichia albicollis,,44394,Passeriformes,Passerellidae,24.4,Herbivore,Omnivore,Terrestrial,5662700.85,Woodland,2,3,111.1245949870151
105,Pinicola enucleator,,175947,Passeriformes,Fringillidae,56.4,Herbivore,Omnivore,Insessorial,18396768.3,Forest,1,2,111.12459498730578
106,Cygnus cygnus,,219595,Anseriformes,Anatidae,9349.99,Herbivore,Herbivore aquatic,Aquatic,17099815.6,Wetland,3,3,111.1245949865922
107,Glaucestrilda caerulescens,Estrilda caerulescens,247715,Passeriformes,Estrildidae,9.4,Herbivore,Granivore,Generalist,1681468.53,Shrubland,2,1,111.12459498699609
108,Diomedea exulans,,46550,Procellariiformes,Diomedeidae,6961.29,Carnivore,Aquatic predator,Aquatic,97771387.54,Marine,3,2,111.12459498684886
109,Alectoris chukar,,9078,Galliformes,Phasianidae,502.1,Herbivore,Granivore,Terrestrial,10343343.08,Shrubland,3,1,111.12459498650546
110,Corvus splendens,,701737,Passeriformes,Corvidae,292.55,Omnivore,Omnivore,Terrestrial,4469957.42,Human Modified,3,1,111.1245949868345
111,Amazona viridigenalis,,229552,Psittaciformes,Psittacidae,316.0,Herbivore,Omnivore,Insessorial,7846.5,Forest,2,1,111.12459498680288
112,Anas flavirostris,,75845,Anseriformes,Anatidae,434.0,Omnivore,Herbivore aquatic,Aquatic,3942276.35,Wetland,3,2,111.12459498659312
113,Calidris pusilla,,279961,Charadriiformes,Scolopacidae,27.5,Carnivore,Aquatic predator,Terrestrial,2634809.84,Grassland,3,3,111.1245949863247
114,Halcyon smyrnensis,,1003843,Coraciiformes,Alcedinidae,91.4,Carnivore,Omnivore,Insessorial,7101906.95,Human Modified,2,2,111.1245949863027
115,Cyanocitta cristata,,28727,Passeriformes,Corvidae,88.0,Omnivore,Omnivore,Terrestrial,6665383.16,Woodland,2,1,111.12459498665385
116,Ortalis vetula,,8984,Galliformes,Cracidae,562.6,Herbivore,Frugivore,Insessorial,603225.55,Shrubland,1,1,111.12459498700242
117,Polysticta stelleri,,234623,Anseriformes,Anatidae,806.76,Carnivore,Aquatic predator,Aquatic,2209280.29,Marine,3,3,111.12459498655237
118,Leucosticte tephrocotis,,217134,Passeriformes,Fringillidae,37.8,Herbivore,Omnivore,Terrestrial,2279904.65,Grassland,3,3,111.12459498729814
119,Corvus brachyrhynchos,,85066,Passeriformes,Corvidae,448.76,Omnivore,Omnivore,Terrestrial,11573830.54,Human Modified,2,2,111.12459498683836
120,Antigone canadensis,Grus canadensis,1977160,Gruiformes,Gruidae,4296.22,Omnivore,Omnivore,Terrestrial,8593771.09,Wetland,3,3,111.12459498699609
121,Zapornia atra,Porzana atra,2585822,Gruiformes,Rallidae,77.4,Carnivore,Invertivore,Terrestrial,41.11,Forest,1,1,111.12459498699609
122,Polytelis anthopeplus,,35545,Psittaciformes,Psittacidae,170.0,Herbivore,Omnivore,Insessorial,387356.37,Shrubland,2,2,111.12459498672256
123,Prunella montanella,,187444,Passeriformes,Prunellidae,17.0,Carnivore,Invertivore,Terrestrial,6373551.3,Forest,2,3,111.1245949870569
124,Aphelocoma californica,,142466,Passeriformes,Corvidae,85.74,Omnivore,Omnivore,Terrestrial,2322710.64,Shrubland,2,1,111.12459498676884
125,Clangula hyemalis,,197941,Anseriformes,Anatidae,871.0,Carnivore,Aquatic predator,Aquatic,9492361.68,Wetland,3,3,111.1245949865959
126,Anser indicus,,8846,Anseriformes,Anatidae,2212.55,Herbivore,Herbivore terrestrial,Terrestrial,2371478.0,Wetland,3,3,111.12459498668126
127,Phoenicurus phoenicurus,,121423,Passeriformes,Muscicapidae,14.59,Carnivore,Invertivore,Insessorial,14485113.51,Woodland,1,3,111.12459498756834
128,Zosterops japonicus,,36299,Passeriformes,Zosteropidae,11.29,Omnivore,Omnivore,Insessorial,3441189.98,Forest,2,1,111.12459498656897
129,Baeolophus inornatus,,142467,Passeriformes,Paridae,15.87,Omnivore,Invertivore,Insessorial,178257.64,Shrubland,2,1,111.1245949873179
130,Numenius phaeopus,,161676,Charadriiformes,Scolopacidae,364.57,Carnivore,Omnivore,Terrestrial,4802995.65,Grassland,3,3,111.12459498563187
131,Mniotilta varia,,182936,Passeriformes,Parulidae,10.9,Carnivore,Invertivore,Insessorial,5385503.08,Forest,1,3,111.12459498701116
132,Amazona auropalliata,,152277,Psittaciformes,Psittacidae,476.94,Herbivore,Omnivore,Insessorial,128946.92,Woodland,2,1,111.12459498676132
133,Philydor erythrocercum,,873176,Passeriformes,Furnariidae,25.27,Carnivore,Invertivore,Insessorial,5418434.13,Forest,1,1,111.12459498775624
134,Cyanoramphus novaezelandiae,,114435,Psittaciformes,Psittacidae,90.22,Herbivore,Omnivore,Insessorial,3484.5,Forest,1,1,111.1245949867871
135,Eophona migratoria,,175941,Passeriformes,Fringillidae,46.88,Herbivore,Omnivore,Insessorial,3312437.98,Forest,2,1,111.12459498750115
136,Thraupis cyanocephala,,3151064,Passeriformes,Thraupidae,36.0,Herbivore,Frugivore,Insessorial,429823.39,Forest,2,1,111.12459498784344
137,Caracara plancus,,8951,Falconiformes,Falconidae,1078.62,Omnivore,Omnivore,Terrestrial,9019115.11,Shrubland,3,1,111.12459498641088
138,Macronectes giganteus,,37057,Procellariiformes,Procellariidae,3591.69,Omnivore,Omnivore,Generalist,100191503.8,Marine,3,2,111.12459498704322
139,Linaria flavirostris,Carduelis flavirostris,90717,Passeriformes,Fringillidae,15.4,Herbivore,Granivore,Insessorial,6668808.82,Grassland,3,3,111.12459498699609
140,Tetrao urogallus aquitanicus,Tetrao urogallus,311393,Galliformes,Phasianidae,2716.61,Herbivore,Herbivore terrestrial,Generalist,11330230.84,Forest,2,1,111.12459498699609
141,Pyrrhura rhodocephala,,311893,Psittaciformes,Psittacidae,75.9,Herbivore,Frugivore,Insessorial,11585.27,Forest,1,1,111.12459498684784
142,Nipponia nippon,,128390,Pelecaniformes,Threskiornithidae,1900.0,Carnivore,Aquatic predator,Terrestrial,1119.51,Wetland,2,1,111.1245949875844
143,Baeolophus bicolor,,88114,Passeriformes,Paridae,21.6,Carnivore,Invertivore,Insessorial,2969712.5,Forest,1,1,111.1245949873619
144,Actitis macularius,,190659,Charadriiformes,Scolopacidae,40.4,Carnivore,Aquatic predator,Terrestrial,13627000.39,Wetland,3,3,111.12459498653348
145,Crithagra flaviventris,Serinus flaviventris,163847,Passeriformes,Fringillidae,16.2,Herbivore,Omnivore,Insessorial,1693757.78,Shrubland,2,1,111.12459498699609
146,Bucephala clangula,,107022,Anseriformes,Anatidae,918.56,Carnivore,Aquatic predator,Aquatic,22082935.41,Wetland,3,3,111.12459498664568
147,Grus japonensis,,30415,Gruiformes,Gruidae,8785.99,Omnivore,Omnivore,Terrestrial,738171.22,Wetland,3,3,111.12459498684032
148,Phylidonyris novaehollandiae,,266418,Passeriformes,Meliphagidae,20.21,Herbivore,Nectarivore,Insessorial,851798.64,Shrubland,2,2,111.12459498697255
149,Saltator maximus,,460219,Passeriformes,Thraupidae,47.62,Herbivore,Frugivore,Insessorial,9544602.66,Shrubland,2,1,111.12459498720187
150,Alisterus amboinensis,,309870,Psittaciformes,Psittacidae,153.0,Herbivore,Omnivore,Insessorial,148979.73,Forest,1,1,111.12459498695198
151,Ciconia boyciana,,52775,Ciconiiformes,Ciconiidae,4847.74,Carnivore,Aquatic predator,Terrestrial,475164.45,Wetland,3,3,111.1245949870538
152,Balearica regulorum,,925459,Gruiformes,Gruidae,3771.99,Omnivore,Omnivore,Terrestrial,3528882.19,Wetland,3,1,111.12459498763582
153,Icterus spurius,,84829,Passeriformes,Icteridae,19.44,Carnivore,Invertivore,Insessorial,4816791.26,Forest,2,3,111.1245949868948
154,Phoenicoparrus andinus,,704177,Phoenicopteriformes,Phoenicopteridae,4900.0,Herbivore,Herbivore aquatic,Terrestrial,190012.59,Wetland,3,1,111.12459498684387
155,Mitu mitu,,194921,Galliformes,Cracidae,2850.47,Herbivore,Frugivore,Terrestrial,,Forest,1,1,111.12459498713284
156,Fulmarus glacialis,,30455,Procellariiformes,Procellariidae,611.94,Carnivore,Aquatic predator,Aquatic,29451058.1,Marine,3,3,111.1245949870212
157,Larus dominicanus,,37036,Charadriiformes,Laridae,952.43,Carnivore,Omnivore,Generalist,3780207.34,Marine,3,1,111.12459498648806
158,Hydrocoloeus minutus,Larus minutus,559175,Charadriiformes,Laridae,118.0,Carnivore,Aquatic predator,Generalist,8322361.57,Coastal,3,2,111.12459498699609
159,Sturnus sericeus,,451428,Passeriformes,Sturnidae,65.0,Omnivore,Invertivore,Insessorial,1660503.05,Shrubland,2,2,111.12459498728671
160,Leucophaeus modestus,Larus modestus,1471025,Charadriiformes,Laridae,344.0,Carnivore,Aquatic predator,Generalist,83704.77,Marine,3,2,111.12459498699609
161,Podiceps cristatus,,345573,Podicipediformes,Podicipedidae,730.96,Carnivore,Aquatic predator,Aquatic,19812770.45,Wetland,3,1,111.1245949874224
162,Tyto alba,,56313,Strigiformes,Tytonidae,403.32,Carnivore,Vertivore,Insessorial,63140525.19,Human Modified,3,1,111.12459498779366
163,Aquila audax,,8961,Accipitriformes,Accipitridae,3449.86,Carnivore,Vertivore,Generalist,7679648.03,Woodland,1,2,111.12459498679314
164,Leptoptilos crumeniferus,,3150064,Ciconiiformes,Ciconiidae,6067.87,Omnivore,Omnivore,Terrestrial,12361408.84,Grassland,3,1,111.124594987142
165,Ixobrychus sinensis,,188382,Pelecaniformes,Ardeidae,94.29,Carnivore,Aquatic predator,Terrestrial,8593201.95,Wetland,1,3,111.12459498744596
166,Psephotus haematonotus,,176047,Psittaciformes,Psittacidae,61.39,Herbivore,Granivore,Terrestrial,1548738.74,Woodland,2,1,111.12459498662072
167,Geospiza fuliginosa,,48884,Passeriformes,Thraupidae,14.5,Herbivore,Granivore,Terrestrial,8302.07,Shrubland,2,1,111.1245949877221
168,Alauda arvensis,,88112,Passeriformes,Alaudidae,37.31,Omnivore,Omnivore,Terrestrial,33005050.82,Grassland,3,2,111.12459498663152
169,Fringilla montifringilla,,36255,Passeriformes,Fringillidae,23.19,Herbivore,Omnivore,Generalist,13666715.85,Forest,1,3,111.12459498742848
170,Asio flammeus,,56267,Strigiformes,Strigidae,322.61,Carnivore,Vertivore,Aerial,39874062.36,Grassland,3,3,111.12459498783755
171,Curruca curruca,Sylvia curruca,43163,Passeriformes,Sylviidae,11.44,Omnivore,Invertivore,Insessorial,16659794.83,Shrubland,3,3,111.12459498699609
172,Lophura ignita,,9044,Galliformes,Phasianidae,1768.14,Herbivore,Omnivore,Terrestrial,889910.58,Forest,1,1,111.12459498636058
173,Uria lomvia,,28711,Charadriiformes,Alcidae,963.99,Carnivore,Aquatic predator,Aquatic,2199476.8,Marine,3,3,111.12459498645688
174,Pytilia hypogrammica,,247529,Passeriformes,Estrildidae,14.8,Herbivore,Granivore,Terrestrial,818060.77,Woodland,2,1,111.124594986885
175,Agapornis nigrigenis,,60465,Psittaciformes,Psittacidae,40.5,Herbivore,Granivore,Generalist,14343.6,Woodland,2,1,111.12459498672666
176,Larus occidentalis,,126713,Charadriiformes,Laridae,922.78,Carnivore,Omnivore,Generalist,91633.8,Marine,3,2,111.12459498651415
177,Eclectus roratus,,176024,Psittaciformes,Psittacidae,480.76,Herbivore,Omnivore,Insessorial,943705.71,Forest,1,1,111.12459498625262
178,Larus marinus,,8912,Charadriiformes,Laridae,1649.71,Omnivore,Omnivore,Terrestrial,1075355.21,Coastal,3,2,111.12459498649314
179,Spatula discors,Anas discors,75842,Anseriformes,Anatidae,359.44,Omnivore,Herbivore aquatic,Aquatic,8349222.13,Wetland,3,3,111.12459498699609
